Sn,Country,Total Case,New Case,Total Death,New Death,Total Recovered,New Recovered
108,Vietnam,"78,269","+3,898",370 ,,"13,421",
109,Maldives,"76,454",,218 ,,"73,637",
110,Luxembourg,"73,309",,821 ,,"70,989",
111,Cambodia,"71,244",+825,"1,222 ",+34,"63,474",+897
112,Singapore,"63,791",,36 ,,"62,576",
113,Rwanda,"61,375",,704 ,,"43,924",
114,Senegal,"54,820",,"1,256 ",,"44,354",
115,Jamaica,"51,542",,"1,167 ",,"46,773",
116,Ivory Coast,"49,386",,324 ,,"48,655",
117,DRC,"47,174",,"1,021 ",,"29,389",
118,Malawi,"46,417",,"1,410 ",,"35,792",
119,Madagascar,"42,561",,937 ,,"40,990",
120,Angola,"41,405",,977 ,,"35,082",
121,Sudan,"37,138",,"2,776 ",,"30,867",
122,Trinidad and Tobago,"36,884",,"1,018 ",,"30,043",
123,Réunion,"34,615",,266 ,,"32,036",
124,Cabo Verde,"33,452",,297 ,,"32,617",
125,Malta,"33,198",,420 ,,"30,291",
126,Australia,"32,588",+162,916 ,+1,"29,743",
127,French Guiana,"29,419",,170 ,,"9,995",
128,Syria,"25,853",,"1,905 ",,"21,933",
129,Gabon,"25,309",,163 ,,"25,050",
130,Guinea,"24,823",,195 ,,"23,719",
131,Suriname,"24,573",,626 ,,"20,846",
132,Mauritania,"23,223",,517 ,,"21,085",
133,Eswatini,"21,880",,735 ,,"19,392",
134,Guyana,"21,733",,515 ,,"20,009",
135,Fiji,"21,361",,161 ,,"4,729",
136,Haiti,"19,762",,523 ,,"13,332",
137,Mayotte,"19,460",,174 ,,"2,964",
138,French Polynesia,"19,234",,145 ,,"18,945",
139,Guadeloupe,"17,779",,238 ,,"2,250",
140,Seychelles,"17,747",,89 ,,"16,889",
141,Papua New Guinea,"17,581",,192 ,,"17,177",
142,Martinique,"15,612",,99 ,,104,
143,Taiwan,"15,511",,782 ,,"13,708",
144,Somalia,"15,162",,781 ,,"7,277",
145,Togo,"14,801",,140 ,,"13,907",
146,Mali,"14,527",,530 ,,"12,868",
147,Andorra,"14,464",,127 ,,"13,988",
148,Tajikistan,"14,359",,116 ,,"13,902",
149,Belize,"13,893",,332 ,,"13,201",
150,Bahamas,"13,781",,274 ,,"12,158",
151,Burkina Faso,"13,537",,169 ,,"13,350",
152,Congo,"13,050",,176 ,,"11,759",
153,Curaçao,"13,038",,126 ,,"12,302",
154,Lesotho,"12,679",,357 ,,"6,621",
155,Hong Kong,"11,972",,212 ,,"11,690",
156,Djibouti,"11,628",,155 ,,"11,466",
157,Aruba,"11,293",,109 ,,"11,054",
158,South Sudan,"10,917",,117 ,,"10,514",
159,Timor-Leste,"10,227",,26 ,,"9,484",
160,Nicaragua,"9,108",,194 ,,"4,225",
161,Equatorial Guinea,"8,848",,123 ,,"8,591",
162,Benin,"8,324",,107 ,,"8,125",
163,Channel Islands,"8,240",,86 ,,"5,022",
164,Gambia,"7,161",,197 ,,"6,080",
165,CAR,"7,147",,98 ,,"6,859",
166,Yemen,"7,001",,"1,372 ",,"4,162",
167,Iceland,"6,967",,30 ,,"6,652",
168,Eritrea,"6,480",,32 ,,"6,201",
169,Sierra Leone,"6,206",,117 ,,"4,201",
170,Burundi,"6,018",,8 ,,773,
171,Niger,"5,594",,195 ,,"5,295",
172,Saint Lucia,"5,496",,87 ,,"5,304",
173,Liberia,"5,396",,148 ,,"2,715",
174,San Marino,"5,099",,90 ,,"5,002",
175,Chad,"4,965",,174 ,,"4,777",
176,Gibraltar,"4,728",,94 ,,"4,336",
177,Laos,"4,342",+223,5 ,,"2,174",
178,Barbados,"4,319",,48 ,,"4,098",
179,Guinea-Bissau,"4,117",,74 ,,"3,756",
180,Comoros,"4,014",,147 ,,"3,849",
181,Isle of Man,"3,424",,29 ,,"1,638",
182,Mauritius,"3,181",,19 ,,"1,854",
183,Liechtenstein,"3,073",,59 ,,"2,995",
184,New Zealand,"2,855",+20,26 ,,"2,749",+2
185,Monaco,"2,744",,33 ,,"2,609",
186,Sint Maarten,"2,698",,34 ,,"2,622",
187,Bermuda,"2,535",,33 ,,"2,487",
188,Saint Martin,"2,481",,38 ,,"1,399",
189,Turks and Caicos,"2,459",,18 ,,"2,404",
190,Bhutan,"2,458",,2 ,,"2,181",
191,Sao Tome and Principe,"2,417",,37 ,,"2,340",
192,St. Vincent Grenadines,"2,271",,12 ,,"2,199",
193,British Virgin Islands,"2,210",,23 ,,588,
194,Caribbean Netherlands,"1,690",,17 ,,"1,647",
195,Antigua and Barbuda,"1,277",,42 ,,"1,225",
196,St. Barth,"1,005",,1 ,,462,
197,Faeroe Islands,958,,1 ,,877,
198,Diamond Princess,712,,13 ,,699,
199,Cayman Islands,627,,2 ,,618,
200,Saint Kitts and Nevis,560,,3 ,,519,
201,Tanzania,509,,21 ,,183,
202,Wallis and Futuna,445,,7 ,,438,
203,Brunei ,311,,3 ,,269,
204,Dominica,209,, ,,196,
205,Grenada,164,,1 ,,161,
206,New Caledonia,131,, ,,58,
207,Anguilla,113,, ,,111,
208,Greenland,84,, ,,58,
209,Falkland Islands,63,, ,,63,
210,Macao,56,, ,,53,
211,Vatican City,27,, ,,27,
212,Saint Pierre Miquelon,26,, ,,26,
213,Montserrat,21,,1 ,,19,
214,Solomon Islands,20,, ,,20,
215,Western Sahara,10,,1 ,,8,
216,MS Zaandam,9,,2  ,,7,
217,Vanuatu,4,,1 ,,3,
218,Marshall Islands,4,, ,,4,
219,Samoa,3,, ,,3,
220,Saint Helena,2,, ,,2,
221,Micronesia,1,, ,,1,
