Sn,Country,Total Case,New Case,Total Death,New Death,Total Recovered,New Recovered
110,Cambodia,"67,181",,"1,106 ",,"58,930",
111,Singapore,"63,073",,36 ,,"62,526",
112,Rwanda,"57,322",,649 ,,"40,041",
113,Vietnam,"55,845","+2,015",254 ,,"10,667",
114,Senegal,"52,096",,"1,220 ",,"43,311",
115,Jamaica,"51,135",,"1,155 ",,"46,316",
116,Ivory Coast,"49,196",,320 ,,"48,445",
117,DRC,"46,009",,"1,018 ",,"29,205",
118,Malawi,"43,470",,"1,338 ",,"34,922",
119,Madagascar,"42,536",,937 ,,"40,916",
120,Angola,"40,805",,957 ,,"34,755",
121,Sudan,"37,138",,"2,776 ",,"30,867",
122,Trinidad and Tobago,"36,017",,992 ,,"29,245",
123,Cabo Verde,"33,302",,295 ,,"32,455",
124,Réunion,"33,295",,256 ,,"30,781",
125,Malta,"32,470",,420 ,,"30,218",
126,Australia,"32,015",+116,914 ,,"29,594",
127,French Guiana,"28,803",,163 ,,"9,995",
128,Syria,"25,834",,"1,905 ",,"21,915",
129,Gabon,"25,260",,162 ,,"24,973",
130,Guinea,"24,668",,188 ,,"23,571",
131,Suriname,"24,272",,611 ,,"20,299",
132,Mauritania,"22,637",,509 ,,"20,736",
133,Guyana,"21,562",,512 ,,"19,834",
134,Eswatini,"21,132",,712 ,,"18,887",
135,Haiti,"19,547",,508 ,,"13,034",
136,Mayotte,"19,450",,174 ,,"2,964",
137,French Polynesia,"19,085",,144 ,,"18,887",
138,Fiji,"17,514",,98 ,,"3,765",
139,Guadeloupe,"17,373",,236 ,,"2,250",
140,Papua New Guinea,"17,340",,179 ,,"16,975",
141,Seychelles,"17,234",,81 ,,"16,322",
142,Taiwan,"15,408",,768 ,,"13,545",
143,Somalia,"15,123",,781 ,,"7,275",
144,Togo,"14,649",,138 ,,"13,838",
145,Mali,"14,513",,530 ,,"11,870",
146,Andorra,"14,273",,127 ,,"13,844",
147,Tajikistan,"14,078",,110 ,,"13,685",
148,Belize,"13,683",,332 ,,"13,035",
149,Burkina Faso,"13,536",,169 ,,"13,340",
150,Bahamas,"13,404",,273 ,,"12,066",
151,Martinique,"13,371",,99 ,,98,
152,Congo,"12,933",,172 ,,"11,759",
153,Curaçao,"12,775",,126 ,,"12,244",
154,Lesotho,"12,398",,339 ,,"6,601",
155,Hong Kong,"11,959",,212 ,,"11,682",
156,Djibouti,"11,627",,155 ,,"11,461",
157,Aruba,"11,235",,108 ,,"11,046",
158,South Sudan,"10,917",,117 ,,"10,514",
159,Timor-Leste,"10,128",,26 ,,"9,320",
160,Equatorial Guinea,"8,828",,123 ,,"8,591",
161,Nicaragua,"8,767",,193 ,,"4,225",
162,Benin,"8,244",,107 ,,"8,081",
163,CAR,"7,142",,98 ,,"6,859",
164,Yemen,"6,981",,"1,368 ",,"4,159",
165,Gambia,"6,920",,190 ,,"6,015",
166,Iceland,"6,718",,30 ,,"6,628",
167,Channel Islands,"6,606",,86 ,,"4,448",
168,Eritrea,"6,402",,30 ,,"6,043",
169,Sierra Leone,"6,186",,115 ,,"4,129",
170,Burundi,"5,802",,8 ,,773,
171,Niger,"5,587",,194 ,,"5,277",
172,Saint Lucia,"5,480",,87 ,,"5,269",
173,Liberia,"5,396",,148 ,,"2,715",
174,San Marino,"5,094",,90 ,,"5,002",
175,Chad,"4,964",,174 ,,"4,777",
